id,title,author,alternate_titles,edition_info
1,Pride and Prejudice,Jane Austen,,1813 first edition
2,Pride and Prejudice,Jane Austen,,Annotated Norton Critical Edition
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone,US edition
4,Harry Potter and the Philosopher's Stone,Joanne Rowling,Harry Potter and the Sorcerer's Stone,UK edition
5,The Road,Cormac McCarthy,,
6,The Road,Jack London,,
7,The Lord of the Rings,J.R.R. Tolkien,LOTR omnibus,Omnibus one-volume
8,The Fellowship of the Ring,J.R.R. Tolkien,,Volume 1
9,The Two Towers,J.R.R. Tolkien,,Volume 2
10,The Return of the King,J.R.R. Tolkien,,Volume 3
11,The Great Gatsby,F. Scott Fitzgerald,,
12,Great,Sara Benincasa,,
13,The Hobbit,J.R.R. Tolkien,,
14,The Hobbit,"Tolkien, J.R.R.",,Deluxe reprint
15,The Hobbit,John Ronald Reuel Tolkien,,Illustrated edition
16,1984,George Orwell,,
17,Animal Farm,George Orwell,,
18,To Kill a Mockingbird,Harper Lee,,
19,The Catcher in the Rye,J.D. Salinger,,
20,Lord of the Flies,William Golding,,
21,Brave New World,Aldous Huxley,,
22,Fahrenheit 451,Ray Bradbury,,
23,The Handmaid's Tale,Margaret Atwood,,
24,Dune,Frank Herbert,,
25,Foundation,Isaac Asimov,,
26,Neuromancer,William Gibson,,
27,Snow Crash,Neal Stephenson,,
28,The Name of the Wind,Patrick Rothfuss,,
29,The Wise Man's Fear,Patrick Rothfuss,,
30,A Game of Thrones,George R.R. Martin,,
31,A Clash of Kings,George R.R. Martin,,
32,The Way of Kings,Brandon Sanderson,,
33,Words of Radiance,Brandon Sanderson,,
34,The Silent Patient,Alex Michaelides,,
35,Gone Girl,Gillian Flynn,,
36,The Girl on the Train,Paula Hawkins,,
37,The Da Vinci Code,Dan Brown,,
38,Angels and Demons,Dan Brown,,
39,The Alchemist,Paulo Coelho,,
40,Life of Pi,Yann Martel,,
41,The Kite Runner,Khaled Hosseini,,
42,A Thousand Splendid Suns,Khaled Hosseini,,
43,The Book Thief,Markus Zusak,,
44,All the Light We Cannot See,Anthony Doerr,,
45,The Nightingale,Kristin Hannah,,
46,Where the Crawdads Sing,Delia Owens,,
47,Educated,Tara Westover,,
48,Becoming,Michelle Obama,,
49,Sapiens,Yuval Noah Harari,,
50,Atomic Habits,James Clear,,
51,The Subtle Art of Not Giving a F*ck,Mark Manson,,
52,"Thinking, Fast and Slow",Daniel Kahneman,,
53,Quiet,Susan Cain,,
54,The Power of Habit,Charles Duhigg,,
55,Outliers,Malcolm Gladwell,,
56,Blink,Malcolm Gladwell,,
57,The Tipping Point,Malcolm Gladwell,,
58,Freakonomics,Steven Levitt,,
59,The Immortal Life of Henrietta Lacks,Rebecca Skloot,,
60,The Martian,Andy Weir,,
61,Project Hail Mary,Andy Weir,,
62,Ready Player One,Ernest Cline,,
63,Ender's Game,Orson Scott Card,,
64,The Hunger Games,Suzanne Collins,,
65,Catching Fire,Suzanne Collins,,
66,Mockingjay,Suzanne Collins,,
67,Twilight,Stephenie Meyer,,
68,The Fault in Our Stars,John Green,,
69,Looking for Alaska,John Green,,
70,It,Stephen King,,
71,The Shining,Stephen King,,
72,Misery,Stephen King,,
73,Carrie,Stephen King,,
74,The Stand,Stephen King,,
75,Dracula,Bram Stoker,,
76,Frankenstein,Mary Shelley,,
77,Jane Eyre,Charlotte Bronte,,
78,Wuthering Heights,Emily Bronte,,
79,Moby-Dick,Herman Melville,,
80,The Odyssey,Homer,,
81,The Iliad,Homer,,
82,Crime and Punishment,Fyodor Dostoevsky,,
83,The Brothers Karamazov,Fyodor Dostoevsky,,
84,War and Peace,Leo Tolstoy,,
85,Anna Karenina,Leo Tolstoy,,
86,One Hundred Years of Solitude,Gabriel Garcia Marquez,,
87,Love in the Time of Cholera,Gabriel Garcia Marquez,,
88,The Stranger,Albert Camus,,
89,The Plague,Albert Camus,,
90,Beloved,Toni Morrison,,
91,The Color Purple,Alice Walker,,
92,Invisible Man,Ralph Ellison,,
93,The Sun Also Rises,Ernest Hemingway,,
94,For Whom the Bell Tolls,Ernest Hemingway,,
95,A Farewell to Arms,Ernest Hemingway,,
96,The Old Man and the Sea,Ernest Hemingway,,
97,Slaughterhouse-Five,Kurt Vonnegut,,
98,Cat's Cradle,Kurt Vonnegut,,
99,Catch-22,Joseph Heller,,
100,The Grapes of Wrath,John Steinbeck,,
101,Of Mice and Men,John Steinbeck,,
102,East of Eden,John Steinbeck,,
103,The Picture of Dorian Gray,Oscar Wilde,,
104,Dr Jekyll and Mr Hyde,Robert Louis Stevenson,,
105,Treasure Island,Robert Louis Stevenson,,
106,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,
107,The Hound of the Baskervilles,Arthur Conan Doyle,,
108,The Count of Monte Cristo,Alexandre Dumas,,
109,Les Miserables,Victor Hugo,,
110,The Hunchback of Notre-Dame,Victor Hugo,,
111,Don Quixote,Miguel de Cervantes,,
112,The Divine Comedy,Dante Alighieri,,
113,Paradise Lost,John Milton,,
114,The Canterbury Tales,Geoffrey Chaucer,,
115,Hamlet,William Shakespeare,,
116,Macbeth,William Shakespeare,,
117,Romeo and Juliet,William Shakespeare,,
118,Othello,William Shakespeare,,
119,King Lear,William Shakespeare,,
120,The Tempest,William Shakespeare,,
121,A Midsummer Night's Dream,William Shakespeare,,
122,The Prince,Niccolo Machiavelli,,
123,Meditations,Marcus Aurelius,,
124,The Art of War,Sun Tzu,,
125,Harry Potter and the Chamber of Secrets,J.K. Rowling,,US
126,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.",,UK
127,Norwegian Wood,Haruki Murakami,Norwegian Wood: Tokyo Blues,US title
128,Norwegian Wood: Tokyo Blues,Haruki Murakami,Norwegian Wood,UK title
129,"The Lion, the Witch and the Wardrobe",C.S. Lewis,,Chronicles vol 1
130,A Wizard of Earthsea,Ursula K. Le Guin,,
